date,time,humidity,temperature,mic_level,mq2_raw
2026-06-23,09:27:05,63,32,566,614


2026-06-23,09:27:06,63,32.5,560,607


2026-06-23,09:27:08,63,32.6,562,613


2026-06-23,09:27:11,63,32.1,562,608


2026-06-23,09:27:12,63,32.7,566,618


2026-06-23,09:27:14,63,32.6,565,613


2026-06-23,09:27:16,63,32,560,605


2026-06-23,09:27:18,63,32.5,565,618


2026-06-23,09:27:20,63,32.7,564,612


2026-06-23,09:27:22,63,32.6,563,611


2026-06-23,09:27:24,63,32.1,564,618


2026-06-23,09:27:26,63,32.6,566,614


2026-06-23,09:27:28,63,32.1,565,616


2026-06-23,09:27:30,63,32.8,561,612


2026-06-23,09:27:32,63,32.4,565,613


2026-06-23,09:27:34,63,32.5,565,614


2026-06-23,09:27:36,63,32.2,564,617


2026-06-23,09:27:38,63,32.3,565,615


2026-06-23,09:27:40,63,32,563,609


2026-06-23,09:27:42,63,32.5,564,614


2026-06-23,09:27:44,63,32.7,565,617


2026-06-23,09:27:46,63,32.6,567,610


2026-06-23,09:27:48,63,32,562,610


2026-06-23,09:27:50,63,32.6,563,613


2026-06-23,09:27:52,63,32,566,614


2026-06-23,09:27:54,63,32.6,564,615


2026-06-23,09:27:56,63,32.1,564,614


2026-06-23,09:27:58,63,32.4,567,615


2026-06-23,09:28:00,63,32.3,566,617


2026-06-23,09:28:02,63,32.5,564,617


2026-06-23,09:28:04,63,32.7,565,615


2026-06-23,09:28:06,63,32.6,566,620


2026-06-23,09:28:08,63,32.2,572,617


2026-06-23,09:28:10,63,32.2,560,615


2026-06-23,09:28:12,63,32.3,566,617


2026-06-23,09:28:14,63,32.4,560,614


2026-06-23,09:28:16,63,32.5,564,617


2026-06-23,09:28:18,63,32.6,565,618


2026-06-23,09:28:20,63,32,568,613


2026-06-23,09:28:22,63,32.4,566,621


2026-06-23,09:28:24,63,32.6,566,617


2026-06-23,09:28:26,63,32.1,572,617


2026-06-23,09:28:28,63,32,566,615


2026-06-23,09:28:30,63,32.6,564,615


2026-06-23,09:28:32,63,32.7,566,614


2026-06-23,09:28:34,63,32.6,565,614


2026-06-23,09:28:36,63,32.3,565,617


2026-06-23,09:28:38,63,32.4,566,619


